id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb20-l1.qa174	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb28-l1.qa167	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj3-l1.qa208	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj8-l1.qa243	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa228	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa230	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj15-l1.qa248	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj19-l1.qa267	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj29-l1.qa217	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj30-l1.qa210	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj47-l1.qa239	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb29-l1.qa177	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb31-l1.qa173	BULB_ONLY_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY4.sbj31-l1.qa218	BULB_ONLY_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj22-l1.qa232	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj22-l1.qa234	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj27-l1.qa228	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj39-l1.qa249	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb15-l1.qa177	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb20-l1.qa188	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb34-l1.qa175	BULB_ONLY_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj8-l1.qa257	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj10-l1.qa247	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj10-l1.qa248	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj23-l1.qa211	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj23-l1.qa213	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj26-l1.qa260	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj36-l1.qa243	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj40-l1.qa254	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb6-l1.qa183	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb9-l1.qa196	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb11-l1.qa186	BURNED_BULB_LOCATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa144	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj12-l1.qa134	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	3	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj14-l1.qa157	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj26-l1.qa169	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj27-l1.qa154	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj30-l1.qa140	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	3	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj35-l1.qa150	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj36-l1.qa155	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	2	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb1-l1.qa123	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb6-l1.qa121	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb12-l1.qa123	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb17-l1.qa122	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb34-l1.qa118	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb35-l1.qa119	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb40-l1.qa119	OTHER_TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj8-l1.qa162	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	2	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa132	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa134	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa157	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj14-l1.qa154	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj24-l1.qa148	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj26-l1.qa166	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj31-l1.qa143	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj36-l1.qa152	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj42-l1.qa149	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj46-l1.qa151	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj47-l1.qa167	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb12-l1.qa122	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb13-l1.qa119	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb27-l1.qa117	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb32-l1.qa121	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb37-l1.qa117	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb42-l1.qa120	TERMINAL_STATE_EXPLAIN_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj8-l1.qa210	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	5	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj14-l1.qa195	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj24-l1.qa204	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj26-l1.qa207	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj30-l1.qa178	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbjb1-l1.qa153	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbjb19-l1.qa151	VOLTAGE_AND_GAP_DISCUSS_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa239	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa245	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj15-l1.qa253	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj23-l1.qa206	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DEFINE_Q.sbj26-l1.qa254	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj27-l1.qa231	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj33-l1.qa219	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj34-l1.qa208	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj38-l1.qa207	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbj42-l1.qa240	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb6-l1.qa180	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb9-l1.qa193	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DEFINE_Q.sbjb17-l1.qa181	VOLTAGE_DEFINE_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj8-l1.qa201	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	6	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj8-l1.qa202	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj8-l1.qa203	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj12-l1.qa166	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj22-l1.qa191	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj29-l1.qa184	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj29-l1.qa185	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj31-l1.qa186	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj33-l1.qa176	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj33-l1.qa177	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj38-l1.qa167	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj38-l1.qa169	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj45-l1.qa174	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbjb1-l1.qa150	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbjb11-l1.qa147	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbjb15-l1.qa146	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbjb26-l1.qa145	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbjb42-l1.qa147	VOLTAGE_DIFF_DISCUSS_1_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj7-l1.qa169	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	5	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj10-l1.qa192	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj13-l1.qa203	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj27-l1.qa190	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	3	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj39-l1.qa206	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj48-l1.qa172	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb18-l1.qa157	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb24-l1.qa153	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb35-l1.qa146	VOLTAGE_DIFF_DISCUSS_2_Q	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj7-l1.qa156	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj15-l1.qa194	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj18-l1.qa157	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj34-l1.qa153	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj35-l1.qa169	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj36-l1.qa176	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj42-l1.qa168	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj45-l1.qa160	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb4-l1.qa136	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb5-l1.qa145	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb24-l1.qa143	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb26-l1.qa136	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb35-l1.qa136	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbjb38-l1.qa136	VOLTAGE_GAP_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY3.sbjb4-l1.qa138	VOLTAGE_GAP_EXPLAIN_WHY3	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY3.sbjb21-l1.qa137	VOLTAGE_GAP_EXPLAIN_WHY3	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj7-l1.qa159	VOLTAGE_GAP_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj13-l1.qa188	VOLTAGE_GAP_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj24-l1.qa182	VOLTAGE_GAP_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj39-l1.qa192	VOLTAGE_GAP_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	incorrect
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbjb4-l1.qa139	VOLTAGE_GAP_EXPLAIN_WHY4	unseen-answers	FaultFinding	1	incorrect
